127.0.0.1 - - [03/Apr/2020:18:47:32 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:47:34 +0530] "GET /BlogginApps/ HTTP/1.1" 200 4458
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:47:34 +0530] "GET /BlogginApps/resources/css/mycustom.css HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:47:34 +0530] "GET /BlogginApps/resources/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:47:34 +0530] "GET /BlogginApps/resources/js/jquery.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:47:34 +0530] "GET /BlogginApps/resources/js/bootstrap.min.js HTTP/1.1" 200 37608
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:47:34 +0530] "GET /BlogginApps/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:02 +0530] "GET /BlogginApps/ HTTP/1.1" 200 4458
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:02 +0530] "GET /BlogginApps/resources/css/mycustom.css HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:02 +0530] "GET /BlogginApps/resources/js/bootstrap.min.js HTTP/1.1" 200 37608
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:02 +0530] "GET /BlogginApps/resources/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:02 +0530] "GET /BlogginApps/resources/js/jquery.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:02 +0530] "GET /BlogginApps/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:07 +0530] "GET /BlogginApps?lang=hi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:07 +0530] "GET /BlogginApps/?lang=hi HTTP/1.1" 200 4554
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:13 +0530] "GET /BlogginApps/registerForm HTTP/1.1" 200 7389
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:30 +0530] "POST /BlogginApps/register HTTP/1.1" 200 7501
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:39 +0530] "POST /BlogginApps/login HTTP/1.1" 200 4943
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:44 +0530] "GET /BlogginApps/SignOut HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:48 +0530] "GET /BlogginApps/admin/adminHome HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:48 +0530] "GET /BlogginApps/adminlogin HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:56 +0530] "POST /BlogginApps/adminloginProccessing HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:18:48:57 +0530] "GET /BlogginApps/admin/adminHome HTTP/1.1" 200 7759
